"Period","Passenger_type","Direction","Country","Count"
201502,"Overseas visitor","Arrival","Senegal",16
201502,"Overseas visitor","Arrival","Serbia",32
201502,"Overseas visitor","Arrival","Seychelles",16
201502,"Overseas visitor","Arrival","Singapore",3520
201502,"Overseas visitor","Arrival","Slovakia",144
201502,"Overseas visitor","Arrival","Slovenia",80
201502,"Overseas visitor","Arrival","Solomon Islands",128
201502,"Overseas visitor","Arrival","South Africa",1600
201502,"Overseas visitor","Arrival","Spain",864
201502,"Overseas visitor","Arrival","Sri Lanka",448
201502,"Overseas visitor","Arrival","Sudan",16
201502,"Overseas visitor","Arrival","Sweden",2192
201502,"Overseas visitor","Arrival","Switzerland",2496
201502,"Overseas visitor","Arrival","Taiwan",4800
201502,"Overseas visitor","Arrival","Tanzania",16
201502,"Overseas visitor","Arrival","Thailand",1040
201502,"Overseas visitor","Arrival","Timor-Leste",16
201502,"Overseas visitor","Arrival","Tonga",1504
201502,"Overseas visitor","Arrival","Trinidad and Tobago",16
201502,"Overseas visitor","Arrival","Turkey",160
201502,"Overseas visitor","Arrival","Tuvalu",64
201502,"Overseas visitor","Arrival","Uganda",16
201502,"Overseas visitor","Arrival","Ukraine",80
201502,"Overseas visitor","Arrival","United Arab Emirates",736
201502,"Overseas visitor","Arrival","United Kingdom",33472
201502,"Overseas visitor","Arrival","United States of America",36672
201502,"Overseas visitor","Arrival","Uruguay",128
201502,"Overseas visitor","Arrival","Vanuatu",752
201502,"Overseas visitor","Arrival","Venezuela",16
201502,"Overseas visitor","Arrival","Viet Nam",512
201502,"Overseas visitor","Arrival","Zimbabwe",64
201502,"Overseas visitor","Departure","Afghanistan",26
201502,"Overseas visitor","Departure","Argentina",416
201502,"Overseas visitor","Departure","Australia",101894
201502,"Overseas visitor","Departure","Austria",1222
201502,"Overseas visitor","Departure","Azerbaijan",26
201502,"Overseas visitor","Departure","Bahrain",26
201502,"Overseas visitor","Departure","Bangladesh",104
201502,"Overseas visitor","Departure","Belarus",26
201502,"Overseas visitor","Departure","Belgium",1196
201502,"Overseas visitor","Departure","Bermuda",26
201502,"Overseas visitor","Departure","Brazil",1040
201502,"Overseas visitor","Departure","Bulgaria",78
201502,"Overseas visitor","Departure","Cambodia",26
201502,"Overseas visitor","Departure","Canada",7592
201502,"Overseas visitor","Departure","Chile",624
201502,"Overseas visitor","Departure","China, People's Republic of",48308
201502,"Overseas visitor","Departure","Colombia",52
201502,"Overseas visitor","Departure","Cook Islands",832
201502,"Overseas visitor","Departure","Costa Rica",26
201502,"Overseas visitor","Departure","Croatia",78
201502,"Overseas visitor","Departure","Cyprus",78
201502,"Overseas visitor","Departure","Czech Republic",546
201502,"Overseas visitor","Departure","Denmark",1612
201502,"Overseas visitor","Departure","Ecuador",26
201502,"Overseas visitor","Departure","Egypt",52
201502,"Overseas visitor","Departure","El Salvador",26
201502,"Overseas visitor","Departure","Estonia",26
201502,"Overseas visitor","Departure","Ethiopia",26
201502,"Overseas visitor","Departure","Fiji",2028
201502,"Overseas visitor","Departure","Finland",624
201502,"Overseas visitor","Departure","Former Yugoslav Republic of Macedonia (FYROM)",26
201502,"Overseas visitor","Departure","France",3588
201502,"Overseas visitor","Departure","French Polynesia",1274
201502,"Overseas visitor","Departure","Germany",10764
201502,"Overseas visitor","Departure","Gibraltar",26
201502,"Overseas visitor","Departure","Greece",52
201502,"Overseas visitor","Departure","Greenland",26
201502,"Overseas visitor","Departure","Guam",104
201502,"Overseas visitor","Departure","Guatemala",26
201502,"Overseas visitor","Departure","Hong Kong (Special Administrative Region)",3432
201502,"Overseas visitor","Departure","Hungary",286
201502,"Overseas visitor","Departure","Iceland",26
201502,"Overseas visitor","Departure","India",3952
201502,"Overseas visitor","Departure","Indonesia",806
201502,"Overseas visitor","Departure","Iran",26
201502,"Overseas visitor","Departure","Ireland",1482
201502,"Overseas visitor","Departure","Israel",754
201502,"Overseas visitor","Departure","Italy",1040
201502,"Overseas visitor","Departure","Jamaica",52
201502,"Overseas visitor","Departure","Japan",8008
201502,"Overseas visitor","Departure","Kiribati",78
201502,"Overseas visitor","Departure","Korea, Republic of",8112
201502,"Overseas visitor","Departure","Laos",104
201502,"Overseas visitor","Departure","Latvia",26
201502,"Overseas visitor","Departure","Lebanon",26
201502,"Overseas visitor","Departure","Liechtenstein",26
201502,"Overseas visitor","Departure","Lithuania",78
201502,"Overseas visitor","Departure","Luxembourg",130
201502,"Overseas visitor","Departure","Macau (Special Administrative Region)",104
201502,"Overseas visitor","Departure","Madagascar",26
201502,"Overseas visitor","Departure","Malaysia",1768
201502,"Overseas visitor","Departure","Maldives",26
201502,"Overseas visitor","Departure","Malta",26
201502,"Overseas visitor","Departure","Mexico",208
201502,"Overseas visitor","Departure","Montserrat",26
201502,"Overseas visitor","Departure","Morocco",26
201502,"Overseas visitor","Departure","Mozambique",26
201502,"Overseas visitor","Departure","Myanmar",26
201502,"Overseas visitor","Departure","Nepal",52
201502,"Overseas visitor","Departure","Netherlands",3276
201502,"Overseas visitor","Departure","New Caledonia",2080
201502,"Overseas visitor","Departure","New Zealand",1586
201502,"Overseas visitor","Departure","Niue",104
201502,"Overseas visitor","Departure","Norway",546
201502,"Overseas visitor","Departure","Not Stated",12636
201502,"Overseas visitor","Departure","Oman",26
201502,"Overseas visitor","Departure","Pakistan",182
201502,"Overseas visitor","Departure","Panama",26
201502,"Overseas visitor","Departure","Papua New Guinea",234
201502,"Overseas visitor","Departure","Paraguay",26
201502,"Overseas visitor","Departure","Peru",104
201502,"Overseas visitor","Departure","Philippines",754
201502,"Overseas visitor","Departure","Poland",676
201502,"Overseas visitor","Departure","Portugal",78
201502,"Overseas visitor","Departure","Puerto Rico",52
201502,"Overseas visitor","Departure","Qatar",208
201502,"Overseas visitor","Departure","Reunion",78
201502,"Overseas visitor","Departure","Romania",104
201502,"Overseas visitor","Departure","Russia",624
201502,"Overseas visitor","Departure","Samoa",1170
201502,"Overseas visitor","Departure","Samoa, American",156
201502,"Overseas visitor","Departure","Saudi Arabia",156
201502,"Overseas visitor","Departure","Singapore",3302
201502,"Overseas visitor","Departure","Slovakia",182
201502,"Overseas visitor","Departure","Slovenia",26
201502,"Overseas visitor","Departure","Solomon Islands",26
201502,"Overseas visitor","Departure","South Africa",1430
201502,"Overseas visitor","Departure","Spain",728
201502,"Overseas visitor","Departure","Sri Lanka",208
201502,"Overseas visitor","Departure","St Kitts and Nevis",26
201502,"Overseas visitor","Departure","St Lucia",26
201502,"Overseas visitor","Departure","Sudan",26
201502,"Overseas visitor","Departure","Sweden",2522
201502,"Overseas visitor","Departure","Switzerland",2964
201502,"Overseas visitor","Departure","Syria",26
201502,"Overseas visitor","Departure","Taiwan",5642
201502,"Overseas visitor","Departure","Thailand",702
201502,"Overseas visitor","Departure","Tokelau",104
201502,"Overseas visitor","Departure","Tonga",1378
201502,"Overseas visitor","Departure","Trinidad and Tobago",78
201502,"Overseas visitor","Departure","Turkey",130
201502,"Overseas visitor","Departure","Turks and Caicos Islands",26
201502,"Overseas visitor","Departure","Tuvalu",78
201502,"Overseas visitor","Departure","Uganda",26
201502,"Overseas visitor","Departure","Ukraine",26
201502,"Overseas visitor","Departure","United Arab Emirates",624
201502,"Overseas visitor","Departure","United Kingdom",31642
201502,"Overseas visitor","Departure","United States of America",29848
201502,"Overseas visitor","Departure","Uruguay",104
201502,"Overseas visitor","Departure","Vanuatu",286
201502,"Overseas visitor","Departure","Venezuela",26
201502,"Overseas visitor","Departure","Viet Nam",364
201502,"Overseas visitor","Departure","Wallis and Futuna",26
201502,"Overseas visitor","Departure","Zimbabwe",182
201503,"Overseas visitor","Arrival","Afghanistan",32
201503,"Overseas visitor","Arrival","Angola",16
201503,"Overseas visitor","Arrival","Anguilla",16
201503,"Overseas visitor","Arrival","Argentina",464
201503,"Overseas visitor","Arrival","Australia",113424
201503,"Overseas visitor","Arrival","Austria",688
201503,"Overseas visitor","Arrival","Azerbaijan",16
201503,"Overseas visitor","Arrival","Bahamas",16
201503,"Overseas visitor","Arrival","Bahrain",48
201503,"Overseas visitor","Arrival","Bangladesh",384
201503,"Overseas visitor","Arrival","Barbados",32
201503,"Overseas visitor","Arrival","Belgium",528
201503,"Overseas visitor","Arrival","Benin",16
201503,"Overseas visitor","Arrival","Bermuda",32
201503,"Overseas visitor","Arrival","Brazil",960
201503,"Overseas visitor","Arrival","Brunei Darussalam",80
201503,"Overseas visitor","Arrival","Bulgaria",96
201503,"Overseas visitor","Arrival","Cambodia",96
201503,"Overseas visitor","Arrival","Canada",5936
201503,"Overseas visitor","Arrival","Cayman Islands",16
201503,"Overseas visitor","Arrival","Chile",512
201503,"Overseas visitor","Arrival","China, People's Republic of",30864
201503,"Overseas visitor","Arrival","Colombia",112
201503,"Overseas visitor","Arrival","Cook Islands",848
201503,"Overseas visitor","Arrival","Costa Rica",16
201503,"Overseas visitor","Arrival","Croatia",48
201503,"Overseas visitor","Arrival","Cuba",16
201503,"Overseas visitor","Arrival","Cyprus",32
201503,"Overseas visitor","Arrival","Czech Republic",368
201503,"Overseas visitor","Arrival","Denmark",912
201503,"Overseas visitor","Arrival","Dominican Republic",16
201503,"Overseas visitor","Arrival","Ecuador",48
201503,"Overseas visitor","Arrival","Egypt",16
201503,"Overseas visitor","Arrival","Estonia",112
201503,"Overseas visitor","Arrival","Fiji",2016
201503,"Overseas visitor","Arrival","Finland",400
201503,"Overseas visitor","Arrival","France",3296
201503,"Overseas visitor","Arrival","French Polynesia",1888
201503,"Overseas visitor","Arrival","Gabon",16
201503,"Overseas visitor","Arrival","Germany",9008
201503,"Overseas visitor","Arrival","Ghana",16
201503,"Overseas visitor","Arrival","Greece",64
201503,"Overseas visitor","Arrival","Guam",32
201503,"Overseas visitor","Arrival","Guatemala",16
201503,"Overseas visitor","Arrival","Hong Kong (Special Administrative Region)",3552
201503,"Overseas visitor","Arrival","Hungary",64
201503,"Overseas visitor","Arrival","Iceland",32
201503,"Overseas visitor","Arrival","India",5024
201503,"Overseas visitor","Arrival","Indonesia",1200
201503,"Overseas visitor","Arrival","Iran",112
201503,"Overseas visitor","Arrival","Iraq",16
201503,"Overseas visitor","Arrival","Ireland",1120
201503,"Overseas visitor","Arrival","Israel",496
201503,"Overseas visitor","Arrival","Italy",736
201503,"Overseas visitor","Arrival","Jamaica",32
201503,"Overseas visitor","Arrival","Japan",10336
201503,"Overseas visitor","Arrival","Jordan",16
201503,"Overseas visitor","Arrival","Kazakhstan",16
201503,"Overseas visitor","Arrival","Kenya",64
201503,"Overseas visitor","Arrival","Kiribati",48
201503,"Overseas visitor","Arrival","Korea, Republic of",6352
201503,"Overseas visitor","Arrival","Kuwait",48
201503,"Overseas visitor","Arrival","Kyrgyzstan",16
201503,"Overseas visitor","Arrival","Laos",16
201503,"Overseas visitor","Arrival","Latvia",32
201503,"Overseas visitor","Arrival","Liechtenstein",16
201503,"Overseas visitor","Arrival","Lithuania",48
201503,"Overseas visitor","Arrival","Luxembourg",32
201503,"Overseas visitor","Arrival","Macau (Special Administrative Region)",96
201503,"Overseas visitor","Arrival","Malawi",16
201503,"Overseas visitor","Arrival","Malaysia",3040
201503,"Overseas visitor","Arrival","Maldives",32
201503,"Overseas visitor","Arrival","Malta",16
201503,"Overseas visitor","Arrival","Mauritius",16
201503,"Overseas visitor","Arrival","Mexico",384
201503,"Overseas visitor","Arrival","Moldova",16
201503,"Overseas visitor","Arrival","Monaco",32
201503,"Overseas visitor","Arrival","Mongolia",16
201503,"Overseas visitor","Arrival","Mozambique",16
201503,"Overseas visitor","Arrival","Myanmar",16
201503,"Overseas visitor","Arrival","Namibia",16
201503,"Overseas visitor","Arrival","Nauru",16
201503,"Overseas visitor","Arrival","Nepal",48
201503,"Overseas visitor","Arrival","Netherlands",1712
201503,"Overseas visitor","Arrival","New Caledonia",1264
201503,"Overseas visitor","Arrival","New Zealand",1552
201503,"Overseas visitor","Arrival","Niger",16
201503,"Overseas visitor","Arrival","Nigeria",16
201503,"Overseas visitor","Arrival","Niue",176
201503,"Overseas visitor","Arrival","Norfolk Island",80
201503,"Overseas visitor","Arrival","Northern Mariana Islands",16
201503,"Overseas visitor","Arrival","Norway",464
201503,"Overseas visitor","Arrival","Not Stated",4848
201503,"Overseas visitor","Arrival","Oman",32
201503,"Overseas visitor","Arrival","Pakistan",240
201503,"Overseas visitor","Arrival","Palau",16
201503,"Overseas visitor","Arrival","Panama",16
201503,"Overseas visitor","Arrival","Papua New Guinea",176
201503,"Overseas visitor","Arrival","Peru",48
201503,"Overseas visitor","Arrival","Philippines",1168
201503,"Overseas visitor","Arrival","Poland",416
201503,"Overseas visitor","Arrival","Portugal",144
201503,"Overseas visitor","Arrival","Puerto Rico",16
201503,"Overseas visitor","Arrival","Qatar",112
201503,"Overseas visitor","Arrival","Reunion",32
201503,"Overseas visitor","Arrival","Romania",96
201503,"Overseas visitor","Arrival","Russia",256
201503,"Overseas visitor","Arrival","Samoa",1632
201503,"Overseas visitor","Arrival","Samoa, American",64
201503,"Overseas visitor","Arrival","San Marino",16
201503,"Overseas visitor","Arrival","Saudi Arabia",176
201503,"Overseas visitor","Arrival","Senegal",16
201503,"Overseas visitor","Arrival","Serbia",16
201503,"Overseas visitor","Arrival","Singapore",3776
201503,"Overseas visitor","Arrival","Slovakia",112
201503,"Overseas visitor","Arrival","Slovenia",48
201503,"Overseas visitor","Arrival","Solomon Islands",144
201503,"Overseas visitor","Arrival","South Africa",2208
201503,"Overseas visitor","Arrival","Spain",896
201503,"Overseas visitor","Arrival","Sri Lanka",304
201503,"Overseas visitor","Arrival","St Vincent and the Grenadines",16
201503,"Overseas visitor","Arrival","Sweden",1328
201503,"Overseas visitor","Arrival","Switzerland",1904
